chrM	1001	1147
chrM	1002	1163
chrM	1003	1170
chrM	1004	1173
chrM	1005	1179
chrM	1006	1174
chrM	1007	1170
chrM	1008	1186
chrM	1009	1186
chrM	1010	1181
chrM	1011	1189
chrM	1012	1199
chrM	1013	1209
chrM	1014	1209
chrM	1015	1219
chrM	1016	1221
chrM	1017	1220
chrM	1018	1222
chrM	1019	1231
chrM	1020	1243
chrM	1021	1240
chrM	1022	1251
chrM	1023	1248
chrM	1024	1243
chrM	1025	1244
chrM	1026	1238
chrM	1027	1241
chrM	1028	1246
chrM	1029	1249
chrM	1030	1246
chrM	1031	1241
chrM	1032	1237
chrM	1033	1228
chrM	1034	1219
chrM	1035	1209
chrM	1036	1203
chrM	1037	1196
chrM	1038	1190
chrM	1039	1198
chrM	1040	1195
